timestamp,open,high,low,close,volume
2023-01-02T09:30:00,300.0,306.18,299.46,303.09,3480464
2023-01-03T09:30:00,303.09,306.26,302.65,305.78,2362819
2023-01-04T09:30:00,305.78,306.2,302.09,303.6,2556469
2023-01-05T09:30:00,303.6,308.84,300.81,301.93,1231686
2023-01-06T09:30:00,301.93,305.95,296.94,304.29,3862553
2023-01-09T09:30:00,304.29,308.79,302.68,307.71,4797778
2023-01-10T09:30:00,307.71,308.67,303.48,303.9,2160540
2023-01-11T09:30:00,303.9,306.57,299.37,300.1,4835941
2023-01-12T09:30:00,300.1,300.17,294.58,295.52,2221710
2023-01-13T09:30:00,295.52,297.95,292.98,295.16,2417716
2023-01-16T09:30:00,295.16,296.36,293.21,293.26,3570887
2023-01-17T09:30:00,293.26,296.03,282.49,287.94,1225054
2023-01-18T09:30:00,287.94,292.34,287.75,291.01,5371467
2023-01-19T09:30:00,291.01,301.43,287.21,297.35,4703694
2023-01-20T09:30:00,297.35,302.18,297.04,300.73,2312231
2023-01-23T09:30:00,300.73,302.51,298.24,298.7,5147964
2023-01-24T09:30:00,298.7,299.11,288.55,291.14,3811115
2023-01-25T09:30:00,291.14,295.64,289.5,290.76,1831055
2023-01-26T09:30:00,290.76,291.58,285.29,290.08,4343627
2023-01-27T09:30:00,290.08,297.01,290.02,296.75,1567812
2023-01-30T09:30:00,296.75,301.43,295.97,298.37,4750839
2023-01-31T09:30:00,298.37,307.34,296.68,305.08,4835890
2023-02-01T09:30:00,305.08,313.26,301.21,310.62,1538739
2023-02-02T09:30:00,310.62,314.14,309.27,314.11,3254931
2023-02-03T09:30:00,314.11,314.75,312.61,313.93,2068127
2023-02-06T09:30:00,313.93,318.23,312.83,315.34,2042220
2023-02-07T09:30:00,315.34,320.83,313.04,319.53,2636865
2023-02-08T09:30:00,319.53,324.69,319.15,321.1,3402705
2023-02-09T09:30:00,321.1,329.03,317.43,328.88,1479434
2023-02-10T09:30:00,328.88,332.44,327.97,332.14,5377304
2023-02-13T09:30:00,332.14,332.18,326.8,328.12,2444825
2023-02-14T09:30:00,328.12,328.37,319.46,322.04,3150088
2023-02-15T09:30:00,322.04,323.21,321.09,322.66,4212407
2023-02-16T09:30:00,322.66,328.97,319.92,325.59,3587949
2023-02-17T09:30:00,325.59,328.92,322.25,323.76,4578622
2023-02-20T09:30:00,323.76,335.97,321.16,333.54,6487268
2023-02-21T09:30:00,333.54,344.18,333.08,343.81,4450062
2023-02-22T09:30:00,343.81,347.72,341.99,345.09,5155898
2023-02-23T09:30:00,345.09,349.16,344.86,348.25,2061077
2023-02-24T09:30:00,348.25,351.46,338.04,339.96,3899442
2023-02-27T09:30:00,339.96,343.37,338.51,342.1,1573795
2023-02-28T09:30:00,342.1,344.02,335.42,339.57,4911898
2023-03-01T09:30:00,339.57,349.14,336.37,347.68,4588013
2023-03-02T09:30:00,347.68,349.73,346.71,347.37,1293816
2023-03-03T09:30:00,347.37,349.19,341.77,347.46,2504366
2023-03-06T09:30:00,347.46,350.1,338.65,341.35,1669488
2023-03-07T09:30:00,341.35,342.3,340.0,341.02,2399757
2023-03-08T09:30:00,341.02,348.31,339.56,346.66,4020272
2023-03-09T09:30:00,346.66,353.41,344.33,350.63,1903118
2023-03-10T09:30:00,350.63,352.61,338.27,338.32,2606324
2023-03-13T09:30:00,338.32,341.85,336.32,336.72,4033280
2023-03-14T09:30:00,336.72,342.08,331.57,341.52,3360764
2023-03-15T09:30:00,341.52,343.01,332.1,333.29,4600732
2023-03-16T09:30:00,333.29,337.35,330.31,333.59,4642606
2023-03-17T09:30:00,333.59,343.3,332.24,338.56,4168882
2023-03-20T09:30:00,338.56,347.37,338.09,346.46,1329636
2023-03-21T09:30:00,346.46,353.88,345.15,350.86,4763666
2023-03-22T09:30:00,350.86,355.7,341.56,344.57,3907328
2023-03-23T09:30:00,344.57,350.04,340.31,343.95,1652927
2023-03-24T09:30:00,343.95,345.17,340.83,342.2,4454406
2023-03-27T09:30:00,342.2,344.9,331.77,333.74,1720977
2023-03-28T09:30:00,333.74,340.62,331.95,338.24,4289202
2023-03-29T09:30:00,338.24,345.8,334.41,339.25,4301227
2023-03-30T09:30:00,339.25,342.01,338.23,338.47,1791513
2023-03-31T09:30:00,338.47,339.8,331.61,332.58,4779125
2023-04-03T09:30:00,332.58,334.92,330.42,330.66,2028404
2023-04-04T09:30:00,330.66,332.82,330.5,331.02,3845506
2023-04-05T09:30:00,331.02,336.2,325.8,334.73,2797113
2023-04-06T09:30:00,334.73,338.36,325.75,326.27,4660737
2023-04-07T09:30:00,326.27,327.98,322.02,325.42,3269647
2023-04-10T09:30:00,325.42,326.87,322.75,322.91,3652915
2023-04-11T09:30:00,322.91,324.53,313.58,316.65,3023287
2023-04-12T09:30:00,316.65,319.3,306.54,308.09,6103736
2023-04-13T09:30:00,308.09,310.24,305.77,309.83,4678570
2023-04-14T09:30:00,309.83,315.55,306.69,313.55,3476796
2023-04-17T09:30:00,313.55,316.23,311.84,314.36,2015551
2023-04-18T09:30:00,314.36,322.05,314.0,320.45,3007134
2023-04-19T09:30:00,320.45,327.13,317.8,323.54,4137679
2023-04-20T09:30:00,323.54,329.15,323.03,324.73,3118804
2023-04-21T09:30:00,324.73,327.96,318.92,319.34,4331201
2023-04-24T09:30:00,319.34,320.39,316.33,319.95,1707642
2023-04-25T09:30:00,319.95,323.64,317.8,321.72,4998834
2023-04-26T09:30:00,321.72,322.08,320.27,320.35,2815995
2023-04-27T09:30:00,320.35,326.0,318.54,323.47,1183087
2023-04-28T09:30:00,323.47,331.98,320.92,329.22,2247934
2023-05-01T09:30:00,329.22,336.59,316.17,318.53,6144807
